起始节点,目标节点,关系
联立方程模型的性质,经济理解能力,考察
联立方程模型中变量的类型,逻辑思维能力,考察
联立方程模型的偏倚性,数学推演能力,考察
联立方程模型的种类,经济理解能力,考察
联立方程模型的识别,数学推演能力,考察
联立方程模型识别的方法,逻辑思维能力,考察
模型识别的一般步骤和经验方法,实证分析能力,考察
联立方程模型的估计,实证分析能力,考察
联立方程模型估计方法的选择,软件使用能力,考察
递归型模型的估计——OLS法,数学推演能力,考察
恰好识别方程的估计——间接最小二乘法（ILS）,数学推演能力,考察
过度识别方程的估计——二段最小二乘法（TSLS）,数学推演能力,考察
案例分析,软件使用能力,考察
联立方程模型及其偏倚,联立方程模型的性质,包含
联立方程模型的性质,单一方程模型特征,包含
联立方程模型的性质,单一方程模型研究对象,包含
单一方程模型研究对象,单一变量,包含
联立方程模型的性质,多个经济变量之间可能存在着双向的或多向的因果关系,包含
联立方程模型的性质,联立方程模型的定义,包含
联立方程模型的定义,用若干个相互关联的单一方程，同时去表示一个经济系统中经济变量相互联立依存性的模型，又称联立方程组模型,包含
联立方程模型的性质,联立方程组中每一个单一方程中包含了一个或多个相互关联的内生变量,包含
联立方程模型的性质,联立方程模型的特点,包含
联立方程模型的特点,联立方程组模型是由若干个单一方程组成的,包含
联立方程模型的特点,联立方程组模型里既有非确定性方程（即随机方程），又有确定性方程,包含
联立方程模型的特点,被解释变量和解释变量之间不仅是单向的因果关系，而可能是互为因果,包含
联立方程模型的特点,解释变量可能与随机扰动项相关，违反OLS基本假定,包含
联立方程模型及其偏倚,联立方程模型中变量的类型,包含
联立方程模型中变量的类型,单一方程中变量,包含
联立方程模型中变量的类型,联立方程中变量,包含
单一方程中变量,被解释变量与解释变量的区分十分清晰，解释变量是变动的原因，被解释变量是变动的结果,包含
联立方程中变量,多个变量可能互为因果,包含
联立方程中变量,同一变量可能作为被解释变量，同时又可能作为解释变量,包含
联立方程中变量,内生变量,包含
联立方程中变量,外生变量,包含
联立方程模型中变量的类型,方程组,包含
联立方程模型中变量的类型,内生变量与外生变量,包含
联立方程模型中变量的类型,外生变量是非随机变量,包含
联立方程模型中变量的类型,滞后内生变量,包含
联立方程模型中变量的类型,前定变量,包含
联立方程模型及其偏倚,联立方程模型的偏倚性,包含
联立方程模型的偏倚性,联立方程模型很可能会违反古典假定,包含
联立方程模型的偏倚性,在联立方程模型中，一个方程中的解释变量，在另一个方程中可以是被解释变量，因此很可能会违反古典假定,包含
联立方程模型的偏倚性,联立方程模型的偏倚性的定义,包含
联立方程模型的偏倚性,联立方程偏倚性是联立方程固有的，一般情况下OLS法不适合于估计联立方程模型,包含
联立方程模型及其偏倚,联立方程模型的种类,包含
联立方程模型的种类,结构型模型,包含
联立方程模型的种类,结构型模型的特点,包含
联立方程模型的种类,简化型模型,包含
结构型模型的特点,结构方程描述了经济变量之间的结构关系，所以结构方程反映了内生变量直接受前定变量、其它内生变量和随机误差项影响的因果关系，在结构方程的右端可能出现其它的内生变量,包含
