起始节点,目标节点,关系
什么是计量经济学,计量经济学的产生于发展,包含
什么是计量经济学,计量经济学的性质,包含
什么是计量经济学,计量经济学与其他学科的关系,包含
计量经济学的产生于发展,弗瑞希创造“Econometrics”一词,包含
计量经济学的产生于发展,1930年世界计量经济学会成立,包含
计量经济学的产生于发展,第二次世界大战后快速发展,包含
计量经济学的性质,计量经济学与经济理论、统计学、数学都有关系,包含
计量经济学的性质,计量经济学目的,包含
计量经济学的性质,计量经济学类型,包含
计量经济学目的,定量分析经济数量关系和规律,包含
计量经济学目的,为制定经济政策提供依据,包含
计量经济学类型,理论计量经济学,包含
计量经济学类型,应用计量经济学,包含
计量经济学与其他学科的关系,经济学,包含
计量经济学与其他学科的关系,经济统计学,包含
计量经济学与其他学科的关系,数理统计学,包含
计量经济学与其他学科的关系,通过建立数学模型研究经济数量关系和规律,包含
计量经济学与其他学科的关系,是一门经济学科,包含
计量经济学的研究步骤,模型设定,包含
计量经济学的研究步骤,参数估计,包含
计量经济学的研究步骤,模型检验,包含
计量经济学的研究步骤,模型应用,包含
变量、参数、数据与模型,计量经济模型中的变量,包含
变量、参数、数据与模型,参数的估计,包含
变量、参数、数据与模型,计量经济学中应用的数据,包含
变量、参数、数据与模型,计量经济模型的建立,包含
计量经济模型中的变量,从经济活动形态分,包含
计量经济模型中的变量,从变量的因果关系上分,包含
计量经济模型中的变量,从变量的性质上分,包含
从经济活动形态分,经济存量,包含
从经济活动形态分,经济流量,包含
从变量的因果关系上分,解释变量,包含
从变量的因果关系上分,被解释变量,包含
从变量的性质上分,内生变量,包含
从变量的性质上分,外生变量,包含
计量经济学中应用的数据,时间序列数据,包含
计量经济学中应用的数据,截面数据,包含
计量经济学中应用的数据,面板数据,包含
计量经济学中应用的数据,虚拟变量数据,包含
计量经济模型的建立,行为关系,包含
计量经济模型的建立,技术（工艺）关系,包含
计量经济模型的建立,制度关系,包含
计量经济模型的建立,经济理解能力,包含
横截面数据,实证分析能力,考察为
计量经济模型中的变量,实证分析能力,考察为
