起始节点,目标节点,关系
虚拟变量,引子,包含
引子,定性因素对房地产价格是否有显著影响,包含
引子,影响商品房价格的因素,包含
引子,成本费用因素,包含
引子,房地产供求因素,包含
引子,经济因素,包含
引子,人口因素,包含
引子,社会因素,包含
引子,行政因素,包含
引子,区域因素,包含
引子,个别因素,包含
引子,房地产投机因素,包含
引子,自然因素,包含
引子,虚拟变量的基本概念,包含
虚拟变量,定量因素,包含
虚拟变量的基本概念,可直接测度的数值型因素,包含
定量因素,虚拟变量的基本概念,包含
定量因素,定性因素（属性因素）,包含
定量因素,定量因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,虚拟变量模型类型,包含
定量因素,虚拟变量模型类型,包含
定量因素,虚拟变量模型类型,包含
定量因素,虚拟变量的设置规则,包含
定量因素,虚拟变量的设置规则,包含
定量因素,避免落入“虚拟变量陷阱”,包含
定量因素,避免落入“虚拟变量陷阱”,包含
定量因素,用虚拟变量表示不同截距的回归——加法方式,包含
定量因素,以加法方式引入虚拟解释变量的情形,包含
定量因素,以加法方式引入虚拟解释变量的情形,包含
定量因素,以加法方式引入虚拟解释变量的情形,包含
定量因素,用虚拟变量表示不同斜率的回归——乘法方式,包含
定量因素,以乘法形式引入虚拟解释变量的主要作用,包含
定量因素,以乘法形式引入虚拟解释变量的主要作用,包含
定量因素,以乘法形式引入虚拟解释变量的主要作用,包含
定量因素,回归模型的比较——结构变化检验,包含
定量因素,回归模型的比较——结构变化检验,包含
定量因素,回归模型的比较——结构变化检验,包含
定量因素,交互效应分析,包含
定量因素,*虚拟被解释变量,包含
定量因素,线性概率模型（LPM）,包含
定量因素,线性概率模型的估计,包含
定量因素,随机扰动项ui的非正态性,包含
定量因素,随机扰动项ui的异方差性,包含
定量因素,不满足的约束,包含
定量因素,非线性概率模型,包含
定量因素,Logit模型,包含
定量因素,Logit模型的基本概念,包含
定量因素,Logit模型的特征,包含
定量因素,Logit模型的估计,包含
定量因素,汽车工业,包含
定量因素,中国私人汽车拥有量及其影响因素,包含
定量因素,本章小结,包含
定量因素,虚拟变量设置规则,包含
定量因素,虚拟变量引入方式,包含
虚拟变量,定量因素,包含
虚拟变量,可直接测度的数值型因素,包含
虚拟变量,虚拟变量的基本概念,包含
虚拟变量,定性因素（属性因素）,包含
虚拟变量,定量因素,包含
虚拟变量,可直接测度的数值型因素,包含
虚拟变量,虚拟变量取值为0,包含
虚拟变量,虚拟变量取值为1,包含
虚拟变量,可直接测度的数值型因素,包含
虚拟变量,虚拟变量的作用,包含
