起始节点,目标节点,关系
多元线性回归模型及古典假定,多元线性回归模型,包含
多元线性回归模型,模型定义,包含
模型定义,描述一个被解释变量与多个解释变量之间的线性关系,包含
多元线性回归模型,模型形式,包含
模型形式,总体回归函数,包含
模型形式,样本回归函数,包含
多元线性回归模型,矩阵形式,包含
矩阵形式,总体线性回归函数的矩阵形式,包含
矩阵形式,样本线性回归函数的矩阵形式,包含
多元线性回归模型及古典假定,多元线性回归模型的古典假定,包含
多元线性回归模型的古典假定,零均值假定,包含
多元线性回归模型的古典假定,同方差和无自相关假定,包含
多元线性回归模型的古典假定,随机扰动项与解释变量不相关假定,包含
多元线性回归模型的古典假定,无多重共线性假定,包含
多元线性回归模型的古典假定,正态性假定,包含
零均值假定,随机扰动项的期望或均值为零,包含
同方差和无自相关假定,随机扰动项互不相关且方差相同,包含
随机扰动项与解释变量不相关假定,随机扰动项与解释变量不相关,包含
无多重共线性假定,各解释变量之间不存在线性关系,包含
正态性假定,随机扰动项服从正态分布,包含
多元线性回归模型的估计,多元线性回归模型参数的最小二乘估计,包含
多元线性回归模型参数的最小二乘估计,估计方法,包含
估计方法,普通最小二乘法(OLS),包含
普通最小二乘法(OLS),在满足古典假定条件下，通过最小化残差平方和来估计模型参数,包含
多元线性回归模型参数的最小二乘估计,残差计算,包含
多元线性回归模型参数的最小二乘估计,最小二乘准则,包含
多元线性回归模型参数的最小二乘估计,矩阵形式表达,包含
多元线性回归模型参数的最小二乘估计,正规方程组,包含
多元线性回归模型的估计,参数最小二乘估计的性质,包含
参数最小二乘估计的性质,线性性质,包含
线性性质,最小二乘估计量是被解释变量观测值的线性组合,包含
参数最小二乘估计的性质,无偏性,包含
参数最小二乘估计的性质,有效性,包含
无偏性,\( E(\hat{\beta}) = \beta \),包含
有效性,在所有线性无偏估计量中方差最小,包含
多元线性回归模型的估计,OLS估计的分布性质,包含
OLS估计的分布性质,参数估计量分布,包含
OLS估计的分布性质,方差-协方差矩阵,包含
多元线性回归模型的估计,随机扰动项方差的估计,包含
随机扰动项方差的估计,无偏估计,包含
多元线性回归模型的假设检验和区间估计,拟合优度检验,包含
拟合优度检验,多重可决系数,包含
拟合优度检验,修正的可决系数,包含
多重可决系数,衡量模型对观测值的拟合程度,包含
